,word,obj_score,neg_score,pos_score,lstm
60,call,0.75,0.0,0.25,0.4123609662055969
79,natty,0.5,0.125,0.375,0.5093076825141907
81,white,0.75,0.25,0.0,0.44730111956596375
82,number,0.625,0.375,0.0,0.42410778999328613
84,all-purpose,0.25,0.75,0.0,0.540996253490448
92,sincerely,0.875,0.125,0.0,0.6909265518188477
93,hope,0.625,0.125,0.25,0.4167328178882599
96,distaste,0.25,0.625,0.125,0.4749869108200073
98,clearly,0.5,0.25,0.25,0.557839035987854
112,looking,0.875,0.0,0.125,0.5898746848106384
118,eyes,0.25,0.25,0.5,0.7124044299125671
120,soulful,0.375,0.5,0.125,0.19794286787509918
123,monotonous,0.5,0.375,0.125,0.5822227001190186
129,utterly,0.5,0.0,0.5,0.8044525980949402
130,unconvincing,0.5,0.5,0.0,0.42953115701675415
145,firmly,0.5,0.0,0.5,0.26402804255485535
149,preens,0.875,0.125,0.0,0.5093076825141907
150,poses,0.625,0.375,0.0,0.44373688101768494
154,unlikely,0.375,0.625,0.0,0.5398838520050049
159,talk,0.875,0.125,0.0,0.4413360357284546
161,conspicuously,0.875,0.0,0.125,0.5093076825141907
162,fails,0.875,0.125,0.0,0.8336654901504517
177,defiance,0.5,0.0,0.5,0.4729902446269989
193,uncommon,0.25,0.25,0.5,0.30677330493927
198,scarcely,0.875,0.0,0.125,0.4417194724082947
213,set,0.875,0.0,0.125,0.5665206909179688
232,excessive,0.375,0.5,0.125,0.7017331719398499
237,cynical,0.375,0.625,0.0,0.553403913974762
239,might,0.125,0.5,0.375,0.38616615533828735
240,consider,0.875,0.0,0.125,0.44087716937065125
257,bit,0.875,0.125,0.0,0.5766638517379761
262,undeniable,0.125,0.875,0.0,0.4833894968032837
264,certainly,0.75,0.0,0.25,0.5786662101745605
269,no,0.75,0.25,0.0,0.16802844405174255
279,justice,0.25,0.25,0.5,0.4206787943840027
282,lancelot,0.875,0.0,0.125,0.5093076825141907
286,wonderfully,0.375,0.125,0.5,0.368671178817749
287,unconcerned,0.5,0.25,0.25,0.5093076825141907
293,joy,0.25,0.25,0.5,0.5172497630119324
294,behold,0.875,0.125,0.0,0.6646829843521118
299,immortal,0.5,0.5,0.0,0.4015059769153595
300,question,0.625,0.25,0.125,0.6176396608352661
305,qualified,0.375,0.0,0.625,0.6002445816993713
308,accuracy,0.5,0.0,0.5,0.544578492641449
311,opinion,0.375,0.625,0.0,0.3447280526161194
315,risible,0.5,0.0,0.5,0.23280280828475952
319,ruritanian,0.75,0.25,0.0,0.5093076825141907
6,really,0.375,0.0,0.625,0.5559988617897034
8,hysterically,0.75,0.0,0.25,0.5122659206390381
12,having,0.75,0.0,0.25,0.6294829249382019
18,new,0.625,0.0,0.375,0.5356008410453796
21,hammerhead,0.625,0.375,0.0,0.5093076825141907
23,frenzy,0.875,0.125,0.0,0.33491775393486023
34,highly,0.375,0.0,0.625,0.28114303946495056
35,amusing,0.125,0.0,0.875,0.5712142586708069
36,essentially,0.5,0.0,0.5,0.46950089931488037
39,creature,0.625,0.375,0.0,0.42021265625953674
51,hilarity,0.25,0.25,0.5,0.5534934401512146
73,sick,0.125,0.75,0.125,0.497882604598999
83,worst,0.125,0.875,0.0,0.08155976980924606
84,friends,0.875,0.0,0.125,0.45764344930648804
95,screaming,0.875,0.0,0.125,0.6256327629089355
97,off,0.375,0.625,0.0,0.4259500801563263
99,fetus,0.75,0.0,0.25,0.4972612261772156
100,absolutely,0.5,0.0,0.5,0.12910336256027222
101,insane,0.5,0.5,0.0,0.3441566526889801
103,deliberately,0.625,0.0,0.375,0.6080814599990845
110,monkeys,0.875,0.125,0.0,0.4982466399669647
112,disturbing,0.375,0.375,0.25,0.796209454536438
116,thought,0.875,0.0,0.125,0.4155956208705902
117,mad,0.875,0.0,0.125,0.3674008548259735
121,cancer,0.875,0.125,0.0,0.5626662969589233
133,succumb,0.5,0.0,0.5,0.808710515499115
135,further,0.875,0.125,0.0,0.36483803391456604
136,hammerheads,0.625,0.375,0.0,0.5093076825141907
142,perfect,0.25,0.125,0.625,0.43728381395339966
149,race,0.875,0.0,0.125,0.6312991380691528
152,make,0.5,0.0,0.5,0.5162003040313721
166,sending,0.875,0.125,0.0,0.48572519421577454
168,jungle,0.875,0.125,0.0,0.5746177434921265
169,paradise,0.75,0.125,0.125,0.04578833281993866
174,check,0.5,0.0,0.5,0.4557235836982727
176,random,0.875,0.0,0.125,0.34506210684776306
183,unimportant,0.375,0.25,0.375,0.5742019414901733
203,leads,0.875,0.0,0.125,0.5308173894882202
206,extremely,0.375,0.0,0.625,0.41356414556503296
207,touching,0.375,0.125,0.5,0.642323911190033
212,impregnate,0.375,0.25,0.375,0.5093076825141907
7,critical,0.5,0.5,0.0,0.4829482436180115
1,comic,0.5,0.0,0.5,0.48194265365600586
4,serious,0.875,0.0,0.125,0.6377019286155701
8,wild,0.5,0.25,0.25,0.5686940550804138
2,favor,0.875,0.0,0.125,0.47973835468292236
10,warts,0.875,0.125,0.0,0.4506177306175232
2,regret,0.5,0.5,0.0,0.5404951572418213
7,expected,0.5,0.25,0.25,0.5506007075309753
11,objective,0.625,0.125,0.25,0.556395411491394
24,charm,0.5,0.0,0.5,0.5093076825141907
26,romanticism,0.5,0.375,0.125,0.25453177094459534
30,boredom,0.375,0.5,0.125,0.5025525689125061
31,find,0.375,0.0,0.625,0.5292811393737793
35,weak,0.375,0.5,0.125,0.4355585277080536
40,charming,0.5,0.0,0.5,0.12980513274669647
48,lacks,0.75,0.125,0.125,0.5559091567993164
55,older,0.5,0.0,0.5,0.907383918762207
58,loosing,0.625,0.0,0.375,0.3403913080692291
59,childish,0.625,0.375,0.0,0.031874023377895355
92,even,0.875,0.0,0.125,0.40776053071022034
6,misrepresentation,0.375,0.625,0.0,0.5093076825141907
26,definitive,0.75,0.0,0.25,0.5565342307090759
32,last,0.75,0.25,0.0,0.33200204372406006
37,exasperation,0.25,0.625,0.125,0.5093076825141907
38,silly,0.625,0.375,0.0,0.48686936497688293
41,idea,0.875,0.0,0.125,0.44739988446235657
43,untamed,0.25,0.75,0.0,0.5093076825141907
48,heroes,0.375,0.125,0.5,0.45579907298088074
56,another,0.875,0.125,0.0,0.5093076825141907
74,nightmare,0.625,0.25,0.125,0.8174602389335632
76,impossibilities,0.75,0.25,0.0,0.5093076825141907
79,incongruity,0.0,0.875,0.125,0.5093076825141907
81,major,0.375,0.0,0.625,0.07822882384061813
107,reach,0.75,0.0,0.25,0.5549052953720093
120,trouble,0.75,0.25,0.0,0.7403303980827332
123,got,0.875,0.0,0.125,0.31877952814102173
126,tough,0.25,0.75,0.0,0.5952369570732117
149,truth,0.375,0.0,0.625,0.28543776273727417
151,territory,0.5,0.125,0.375,0.13096129894256592
179,strike,0.875,0.125,0.0,0.38470619916915894
184,brooked,0.5,0.5,0.0,0.5093076825141907
192,wails,0.25,0.75,0.0,0.5093076825141907
207,enough,0.875,0.0,0.125,0.5394476652145386
214,true,0.125,0.375,0.5,0.6443787813186646
218,down,0.875,0.125,0.0,0.5500234365463257
219,moral,0.25,0.125,0.625,0.7282995581626892
233,punishable,0.125,0.75,0.125,0.5093076825141907
236,fine,0.875,0.125,0.0,0.4712424874305725
237,cut,0.875,0.0,0.125,0.47025901079177856
241,plump,0.625,0.0,0.375,0.21903690695762634
244,were,0.625,0.125,0.25,0.4336605370044708
247,called,0.75,0.0,0.25,0.4919033646583557
257,suggestively,0.75,0.0,0.25,0.5093076825141907
261,overly,0.625,0.25,0.125,0.5989684462547302
265,such,0.875,0.125,0.0,0.5717285871505737
270,unthinkable,0.375,0.625,0.0,0.5561550259590149
272,notorious,0.125,0.875,0.0,0.43048524856567383
285,disarmed,0.5,0.375,0.125,0.5093076825141907
296,heinous,0.0,0.778,0.222,0.6846760511398315
298,talking,0.875,0.125,0.0,0.5849836468696594
317,hand,0.5,0.0,0.5,0.4658117890357971
323,yet,0.75,0.0,0.25,0.44672539830207825
336,mildly,0.625,0.375,0.0,0.5674974918365479
340,resistance,0.25,0.75,0.0,0.6350805163383484
360,souvenirs,0.875,0.0,0.125,0.5093076825141907
373,alone,0.5,0.25,0.25,0.6533932685852051
375,murder,0.625,0.375,0.0,0.44983163475990295
378,contrast,0.75,0.125,0.125,0.38015198707580566
385,lawless,0.5,0.5,0.0,0.4122276306152344
394,remarkable,0.5,0.25,0.25,0.553176760673523
416,easily,0.75,0.0,0.25,0.6800399422645569
433,right,0.75,0.0,0.25,0.5540831089019775
444,says,0.875,0.0,0.125,0.5070054531097412
445,yes,0.75,0.0,0.25,0.7673798203468323
466,wilderness,0.875,0.125,0.0,0.3730713725090027
467,expect,0.5,0.25,0.25,0.9610644578933716
515,astonishing,0.75,0.25,0.0,0.5377795696258545
536,accepted,0.875,0.0,0.125,0.4212031662464142
538,want,0.75,0.25,0.0,0.5094491839408875
543,fits,0.5,0.5,0.0,0.35166969895362854
573,reluctant,0.25,0.625,0.125,0.6535536646842957
576,must,0.625,0.0,0.375,0.5093076825141907
595,inevitable,0.375,0.625,0.0,0.5376906991004944
603,bald,0.625,0.375,0.0,0.352185994386673
606,rational,0.625,0.0,0.375,0.8432172536849976
607,belief,0.875,0.0,0.125,0.5468023419380188
2,rough,0.625,0.375,0.0,0.7161563634872437
4,unedited,0.25,0.25,0.5,0.5541738867759705
7,dire,0.5,0.5,0.0,0.5570749044418335
15,need,0.75,0.125,0.125,0.44797050952911377
16,awful,0.125,0.875,0.0,0.3547859787940979
30,effects,0.875,0.125,0.0,0.39447662234306335
34,stunts,0.375,0.625,0.0,0.5749428272247314
45,foppish,0.625,0.0,0.375,0.5093076825141907
54,talented,0.5,0.0,0.5,0.23662294447422028
56,amazing,0.25,0.25,0.5,0.6494649648666382
58,badly,0.75,0.25,0.0,0.4960314929485321
64,obviously,0.5,0.0,0.5,0.5898761749267578
73,reflection,0.875,0.0,0.125,0.5268174409866333
76,inability,0.625,0.25,0.125,0.6821514964103699
82,forget,0.75,0.0,0.25,0.7395423054695129
85,plus,0.375,0.0,0.625,0.4617175757884979
86,noteworthy,0.625,0.0,0.375,0.567604124546051
91,props,0.125,0.0,0.875,0.8692616820335388
95,bothered,0.625,0.375,0.0,0.5943801403045654
96,disguise,0.875,0.125,0.0,0.48608529567718506
105,barely,0.875,0.0,0.125,0.20735222101211548
143,plenty,0.625,0.375,0.0,0.48621517419815063
150,give,0.875,0.125,0.0,0.6449522376060486
154,deserve,0.125,0.125,0.75,0.5093076825141907
19,entirely,0.5,0.0,0.5,0.4876413941383362
22,direct,0.75,0.25,0.0,0.29195523262023926
27,adds,0.25,0.125,0.625,0.45089900493621826
36,combined,0.875,0.125,0.0,0.5093076825141907
43,dull,0.375,0.25,0.375,0.30291277170181274
48,mistaking,0.5,0.5,0.0,0.5093076825141907
49,genuine,0.0,0.636,0.364,0.4813283681869507
56,okay,0.625,0.0,0.375,0.5179296135902405
87,realism,0.875,0.0,0.125,0.6848817467689514
88,funniest,0.5,0.0,0.5,0.3533227741718292
102,odd,0.125,0.375,0.5,0.7897202968597412
109,extreme,0.75,0.25,0.0,0.6433352828025818
111,problem,0.375,0.625,0.0,0.5273916721343994
3,vividly,0.75,0.0,0.25,0.5607219338417053
4,illustrates,0.625,0.0,0.375,0.4182294011116028
5,rewards,0.375,0.0,0.625,0.6073654890060425
6,pitfalls,0.5,0.375,0.125,0.7640217542648315
12,enamored,0.5,0.0,0.5,0.36125460267066956
1,inherently,0.875,0.0,0.125,0.5574958920478821
4,patriotic,0.875,0.0,0.125,0.48375222086906433
9,distastefulness,0.5,0.25,0.25,0.5093076825141907
11,simpleton,0.75,0.0,0.25,0.5093076825141907
0,hard,0.25,0.75,0.0,0.44270434975624084
1,believe,0.875,0.0,0.125,0.6596945524215698
12,require,0.5,0.25,0.25,0.5093076825141907
14,certain,0.375,0.5,0.125,0.4403640627861023
17,enjoy,0.625,0.0,0.375,0.9024150967597961
50,masters,0.625,0.0,0.375,0.5093076825141907
53,rescue,0.875,0.0,0.125,0.8797392845153809
67,joke,0.625,0.0,0.375,0.45084986090660095
75,secure,0.75,0.0,0.25,0.5093076825141907
86,security,0.375,0.125,0.5,0.17514097690582275
119,blow,0.625,0.375,0.0,0.44663122296333313
152,maximum,0.75,0.25,0.0,0.5093076825141907
178,totally,0.5,0.0,0.5,0.6136614084243774
189,will,0.875,0.0,0.125,0.6506037712097168
198,forever,0.75,0.125,0.125,0.3296826183795929
201,flaws,0.875,0.125,0.0,0.3840349018573761
202,outright,0.5,0.5,0.0,0.24160024523735046
208,bore,0.875,0.125,0.0,0.5093076825141907
220,slim,0.5,0.0,0.5,0.49744370579719543
241,private,0.875,0.125,0.0,0.5263217091560364
248,forced,0.5,0.125,0.375,0.507189929485321
0,usual,0.875,0.0,0.125,0.5154518485069275
4,bother,0.625,0.375,0.0,0.5609831809997559
9,together,0.625,0.0,0.375,0.6065483093261719
26,seriously,0.75,0.0,0.25,0.6652233004570007
46,tornado,0.75,0.25,0.0,0.15629346668720245
49,important,0.125,0.0,0.875,0.416890412569046
74,cold,0.875,0.125,0.0,0.6894205212593079
82,fix,0.875,0.125,0.0,0.46589234471321106
99,doubt,0.875,0.0,0.125,0.4211588501930237
1,reads,0.75,0.0,0.25,0.3021032512187958
17,uncomfortably,0.625,0.375,0.0,0.5639435052871704
18,risky,0.625,0.125,0.25,0.5051476359367371
11,eccentric,0.75,0.25,0.0,0.4649202525615692
4,famous,0.625,0.0,0.375,0.9718186259269714
9,hell,0.625,0.375,0.0,0.7422841191291809
15,sense,0.625,0.0,0.375,0.546990156173706
18,open,0.625,0.375,0.0,0.3155837059020996
13,admire,0.25,0.125,0.625,0.8081411123275757
5,issues,0.875,0.0,0.125,0.7042059302330017
11,neglects,0.875,0.125,0.0,0.5093076825141907
1,boy,0.75,0.0,0.25,0.49416419863700867
13,lucky,0.25,0.0,0.75,0.3936418890953064
35,intelligent,0.75,0.0,0.25,0.5978274941444397
37,fantasy,0.5,0.5,0.0,0.4330240786075592
0,compare,0.875,0.125,0.0,0.7609229683876038
3,disaster,0.625,0.375,0.0,0.6776838302612305
7,deserves,0.125,0.125,0.75,0.24766623973846436
3,proper,0.25,0.0,0.75,0.455579936504364
20,tune,0.75,0.0,0.25,0.5306416153907776
7,happy,0.125,0.0,0.875,0.5707332491874695
28,hated,0.25,0.75,0.0,0.5684270858764648
33,whole,0.875,0.0,0.125,0.6450170278549194
44,favorite,0.875,0.0,0.125,0.9195183515548706
48,pretty,0.625,0.25,0.125,0.37800177931785583
67,evil,0.125,0.875,0.0,0.5768014192581177
69,demon,0.0,0.556,0.444,0.6423548460006714
71,wanted,0.75,0.0,0.25,0.6188603639602661
83,fantastic,0.625,0.0,0.375,0.8336947560310364
97,dying,0.375,0.625,0.0,0.5019816756248474
113,haired,0.75,0.25,0.0,0.41908666491508484
118,useless,0.25,0.625,0.125,0.3836878836154938
120,spent,0.875,0.0,0.125,0.06734857708215714
132,elements,0.625,0.375,0.0,0.5244346857070923
139,black,0.625,0.375,0.0,0.5050767064094543
140,thorn,0.625,0.375,0.0,0.5139304995536804
144,apocalypse,0.5,0.5,0.0,0.8083188533782959
149,date,0.875,0.0,0.125,0.6663150787353516
178,biggest,0.625,0.125,0.25,0.6763178110122681
179,problems,0.375,0.625,0.0,0.6742699146270752
189,dead,0.25,0.75,0.0,0.1299474984407425
201,sure,0.25,0.5,0.25,0.5430421233177185
214,huge,0.875,0.125,0.0,0.3389647305011749
224,redeemed,0.75,0.25,0.0,0.5592414140701294
225,lose,0.5,0.5,0.0,0.3022729754447937
235,weird,0.25,0.75,0.0,0.5729039311408997
246,stupid,0.25,0.75,0.0,0.4160144329071045
256,redemption,0.875,0.125,0.0,0.6387476325035095
271,rated,0.625,0.25,0.125,0.07671849429607391
5,beautiful,0.25,0.0,0.75,0.40155118703842163
9,gifted,0.5,0.0,0.5,0.6531264185905457
10,versatile,0.5,0.25,0.25,0.5076267123222351
21,redeeming,0.375,0.0,0.625,0.1458030641078949
24,gently,0.875,0.0,0.125,0.5409115552902222
26,essence,0.75,0.0,0.25,0.7102651596069336
27,lonely,0.625,0.25,0.125,0.23325447738170624
35,tremendously,0.75,0.25,0.0,0.5093076825141907
39,shameless,0.25,0.625,0.125,0.6864836812019348
66,positive,0.375,0.0,0.625,0.7653554677963257
77,plainly,0.5,0.0,0.5,0.627944827079773
79,lack,0.75,0.125,0.125,0.5909243226051331
84,nice,0.125,0.0,0.875,0.5503087043762207
89,thinking,0.875,0.0,0.125,0.704811692237854
101,pity,0.125,0.75,0.125,0.6466491222381592
103,shines,0.5,0.125,0.375,0.5731295347213745
4,quirky,0.5,0.5,0.0,0.6824765801429749
7,cliches,0.875,0.0,0.125,0.3954755663871765
8,technical,0.875,0.0,0.125,0.35222986340522766
8,convinced,0.875,0.0,0.125,0.31474271416664124
10,watched,0.875,0.0,0.125,0.5543789863586426
68,interested,0.375,0.0,0.625,0.34665486216545105
83,adventures,0.75,0.0,0.25,0.6350592374801636
115,low,0.75,0.25,0.0,0.3345766067504883
127,ideas,0.875,0.0,0.125,0.47584664821624756
1,competent,0.25,0.0,0.75,0.5093076825141907
9,resonate,0.875,0.0,0.125,0.26838672161102295
11,sardonic,0.0,0.75,0.25,0.5941975116729736
12,verve,0.5,0.0,0.5,0.5425964593887329
13,caustic,0.375,0.625,0.0,0.5543348789215088
22,drab,0.625,0.375,0.0,0.42989543080329895
23,wannabe,0.875,0.0,0.125,0.14785976707935333
26,niche,0.75,0.0,0.25,0.2384958267211914
1,stimulating,0.875,0.0,0.125,0.4035252630710602
2,satisfying,0.5,0.0,0.5,0.6189801096916199
9,affect,0.875,0.0,0.125,0.5305160284042358
4,saved,0.5,0.0,0.5,0.42373359203338623
1,matter,0.625,0.25,0.125,0.4508397877216339
11,believable,0.375,0.0,0.625,0.5093076825141907
14,nerd,0.5,0.5,0.0,0.5021063089370728
19,easier,0.125,0.25,0.625,0.3633703589439392
20,envisage,0.5,0.5,0.0,0.5093076825141907
5,trash,0.875,0.125,0.0,0.9083325266838074
16,angers,0.625,0.0,0.375,0.5093076825141907
22,favourite,0.875,0.0,0.125,0.4563048481941223
81,prepared,0.375,0.0,0.625,0.48907923698425293
85,fit,0.5,0.5,0.0,0.5093076825141907
92,today,0.875,0.0,0.125,0.4495358467102051
0,basically,0.5,0.0,0.5,0.5093076825141907
5,desperate,0.5,0.5,0.0,0.20256707072257996
13,double,0.25,0.25,0.5,0.7172011137008667
16,given,0.875,0.125,0.0,0.4854187071323395
19,immediately,0.625,0.375,0.0,0.18930494785308838
6,absurd,0.625,0.0,0.375,0.7233872413635254
9,don,0.875,0.0,0.125,0.4844053387641907
17,interminable,0.875,0.0,0.125,0.6402028799057007
22,crushed,0.75,0.25,0.0,0.5148747563362122
25,oppressiveness,0.375,0.375,0.25,0.5093076825141907
46,dismal,0.375,0.625,0.0,0.16204775869846344
51,wears,0.75,0.25,0.0,0.6540249586105347
53,annoying,0.75,0.25,0.0,0.618635356426239
55,agony,0.375,0.625,0.0,0.6871054768562317
59,indistinguishable,0.375,0.5,0.125,0.38708779215812683
60,eternal,0.75,0.0,0.25,0.587380588054657
61,dreary,0.625,0.375,0.0,0.21520061790943146
82,wretched,0.125,0.875,0.0,0.6913684606552124
94,troubled,0.125,0.875,0.0,0.4577508866786957
102,remotely,0.875,0.0,0.125,0.5787672400474548
103,interesting,0.875,0.0,0.125,0.46689921617507935
110,bunch,0.875,0.125,0.0,0.2773485779762268
111,unpleasant,0.25,0.625,0.125,0.40083974599838257
112,weirdos,0.5,0.5,0.0,0.46528229117393494
118,nosy,0.75,0.25,0.0,0.5093076825141907
119,pest,0.5,0.5,0.0,0.4226149320602417
130,equaling,0.75,0.125,0.125,0.5093076825141907
134,indulgent,0.25,0.25,0.5,0.554523766040802
137,vague,0.375,0.375,0.25,0.38709020614624023
150,fanatic,0.125,0.5,0.375,0.13915793597698212
0,wretchedly,0.75,0.0,0.25,0.5093076825141907
6,enjoyable,0.25,0.25,0.5,0.4687400162220001
10,truly,0.375,0.0,0.625,0.5027737021446228
2,instinct,0.5,0.5,0.0,0.43273651599884033
5,terrifying,0.75,0.0,0.25,0.11806827038526535
9,serenity,0.375,0.0,0.625,0.5093076825141907
6,manageable,0.375,0.0,0.625,0.5093076825141907
3,joys,0.25,0.25,0.5,0.5695909261703491
10,performances,0.875,0.0,0.125,0.8353356719017029
52,othello,0.5,0.5,0.0,0.33293381333351135
67,explain,0.75,0.0,0.25,0.5519739985466003
74,incapable,0.75,0.125,0.125,0.6373953819274902
77,sexual,0.5,0.125,0.375,0.7561911940574646
78,disgust,0.25,0.375,0.375,0.41847139596939087
80,revulsion,0.25,0.625,0.125,0.5093076825141907
89,fill,0.625,0.375,0.0,0.5098101496696472
91,utter,0.375,0.0,0.625,0.5808665156364441
101,impossible,0.25,0.75,0.0,0.47418513894081116
103,slightest,0.625,0.375,0.0,0.8347841501235962
114,lusty,0.5,0.0,0.5,0.5863915681838989
123,lots,0.75,0.25,0.0,0.5259252190589905
133,managed,0.875,0.0,0.125,0.6883801221847534
150,mark,0.75,0.125,0.125,0.5120540857315063
8,absolute,0.5,0.0,0.5,0.3542976379394531
40,curious,0.5,0.375,0.125,0.4092208743095398
54,appreciate,0.75,0.125,0.125,0.6939279437065125
61,obscure,0.375,0.375,0.25,0.7654975056648254
0,erotic,0.375,0.0,0.625,0.3541368544101715
1,inclinations,0.625,0.0,0.375,0.5093076825141907
11,hardcore,0.5,0.0,0.5,0.4289029836654663
22,appetites,0.25,0.5,0.25,0.5093076825141907
0,despite,0.375,0.625,0.0,0.564230740070343
